component_type_id, type_name, description, code_id
52, 'system form select component type', 'selector for the component type', 'system_form_select_component_type'
53, 'system form field formula text', 'the form field the formula expression', 'system_form_field_formula_expression'
54, 'form field name', 'the form flag to set the formula to need all variables for a valid result', 'system_form_field_formula_all_vars'
55, 'form field plural', 'fixed form field the language form plural', 'system_form_field_plural'
56, 'word results', 'show the results related to a word', 'word_results'
57, 'triple name', 'show the name of a triple and give the admin user the possibility to change the name', 'triple_name'
58, 'source name', 'show the name of a source and give the admin user the possibility to change the name', 'source_name'
59, 'reference name', 'show the name of a reference and give the admin user the possibility to change the name', 'reference_name'
60, 'language name', 'show the name of a language and give the admin user the possibility to change the name', 'language_name'
61, 'results related to', 'display all results that are related to a defined term', 'results_related'
62, 'expression', 'display expression of a formula', 'expression'
63, 'system title', 'title of a fixed system view where the user can only change the order of the components', 'system_title'
64, 'system about', 'the fixed system about html page body', 'system_body_about'
65, 'system body error log', 'show the body of the error log page', 'system_body_error_log'
66, 'system body error update', 'show the body of the error update page', 'system_body_error_update'
67, 'system body process progress', 'show the progress of one process', 'system_body_process_progress'
68, 'system body process list', 'show all progress of one progress', 'system_body_process_list'
69, 'system form field group', 'the group name field in a form', 'system_form_field_group'
70, 'system form field group or phrase list', 'a form field for the group name or a list of prase names', 'system_form_field_group_or_phrase_list'
71, 'system form field url', 'the url field in a form', 'system_form_field_url'
72, 'system form field selection name', 'the unique name of a selection', 'system_form_selection_name'
73, 'system form field selection description', 'text that explains this selection', 'system_form_selection_description'
74, 'system form field selection text', 'free text field to define a selection', 'system_form_selection_text'
75, 'system form select multi phrases', 'select one or many words and triples', 'system_form_select_multi_phrases'
76, 'system form select multi verbs', 'select one or many verbs', 'system_form_select_multi_verbs'
77, 'system form select formula', 'select one formula', 'system_form_select_formula'
78, 'system form select multi formulas', 'select one or many formulas', 'system_form_select_multi_formulas'
79, 'system form select term', 'select one term', 'system_form_select_term'
80, 'system form select multi terms', 'select one or many words, verbs, triples and formulas', 'system_form_select_multi_terms'
81, 'system form select value', 'select one value', 'system_form_select_value'
82, 'system form select multi values', 'select one or many values', 'system_form_select_multi_values'
83, 'system form select result', 'select one result', 'system_form_select_result'
84, 'system form select multi results', 'select one or many results', 'system_form_select_multi_results'
85, 'system form field source group', 'the result source group name field in a form', 'system_form_field_source_group'
86, 'system form select multi views', 'select one or many views', 'system_form_select_multi_views'
87, 'system form select component', 'select one component', 'system_form_select_component'
88, 'system form select multi components', 'select one or many components', 'system_form_select_multi_components'
89, 'system form preview', 'preview if view component is changed based on a selectable sample object', 'system_form_preview'
90, 'system form select view default', 'selector for the default view to show this object to the user e.g. the word physics should be shown with the view science', 'system_form_select_view_default'
91, 'system form select file', 'selector for a file to import', 'system_form_select_file'
92, 'system form select export format', 'selector for the export format e.g. json', 'system_form_select_export_format'
93, 'system form link table', 'show the linked views as a table with the possibility to add or remove a view', 'system_form_link_table'
94, 'system button import', 'button to start the import', 'system_button_import'
95, 'system button export', 'button to start the export', 'system_button_export'
96, 'parents of this word', 'lists of words or triples lead to this word e.g. at least City and Canton if this word is Zurich', 'list_parents_of_word'
97, 'result list', 'list of results related to a phrase or calculated by this formula', 'result_list'
98, 'formula list', 'changeable list of formulas related to this word', 'formula_list_changeable'
99, 'system form select component link type', 'system form field to select the type that a component is linked to a view', 'system_form_select_component_link_type'
100, 'system form select formula link type', 'system form field to select the type that a formula is linked to a phrase', 'system_form_select_formula_link_type'
101, 'system form select view link type', 'system form field to select the type that a view is linked to a term', 'system_form_select_view_link_type'
102, 'system setup', 'the fixed system setup html page body', 'system_body_setup'
103, 'system signup', 'the fixed system signup html page body', 'system_body_signup'
104, 'system login', 'the fixed system login html page body', 'system_body_login'
105, 'system activate', 'the fixed system activate html page body', 'system_body_login_activate'
106, 'system reset', 'the fixed system reset html page body', 'system_body_login_reset'
107, 'system logout', 'the fixed system logout html page body', 'system_body_logout'
108, 'system search', 'the fixed system search html page body', 'system_body_search'
109, 'system search full', 'the fixed system search full html page body', 'system_body_search_full'
110, 'system value detail', 'the fixed system value detail html page body', 'system_body_value_detail'
111, 'system result explain', 'the fixed system result explain html page body', 'system_body_result_explain'
112, 'system formula test', 'the fixed system formula test html page body', 'system_body_formula_test'
113, 'system sandbox', 'the fixed system sandbox html page body', 'system_body_sandbox'
114, 'system undo', 'the fixed system undo html page body', 'system_body_undo'
115, 'system user settings', 'the fixed system user settings html page body', 'system_body_user_settings'
116, 'system process', 'the fixed system process html page body', 'system_body_process'
117, 'system form field source group or phrase list', 'a form field for the source group name or a list of prase names', 'system_form_field_source_group_or_phrase_list'
118, 'form select source', 'the form field to select a source', 'system_form_select_source'
119, 'form select multi source', 'select one or many sources', 'system_form_select_multi_sources'
120, 'form select ref', 'the form field to select a reference', 'system_form_select_ref'
121, 'form select multi ref', 'select one or many references', 'system_form_select_multi_refs'
122, 'views', 'show all views linked to here', 'view_list'
123, 'form field value type', 'the value type field in a form', 'system_form_select_value_type'
124, 'system form select component style', 'selector for the component style', 'system_form_select_component_style'
125, 'system form view link priority', 'to set the priority of the view link', 'system_form_select_view_link_priority'
126, 'system form component link position', 'to set the position of the component link', 'system_form_select_component_link_order_number'
127, 'system form select formula link priority', 'to set the priority of the formula link', 'system_form_select_formula_link_priority'
128, 'system show field usage', 'the value usage as read only', 'system_show_field_usage'
129, 'used in as text', 'text of the views where e.g. this component is used with the tooltip', 'used_in_as_text'
130, 'used in as text with link', 'text of the views where e.g. this component is used with the link to the view', 'used_in_as_text_with_link'
131, 'export ods', 'to define the main phrase, the column and row for the ODS export', 'export_ods'
132, 'export json', 'to define the main phrase, the column and row for the JSON export', 'export_json'
133, 'export xml', 'to define the main phrase, the column and row for the XML export', 'export_xml'
134, 'export csv', 'to define the main phrase, the column and row for the CSV export', 'export_csv'
135, 'form field reverse', 'fixed form field the language form reverse', 'system_form_field_reverse'
136, 'form field plural reverse', 'fixed form field the language form plural reverse', 'system_form_field_plural_reverse'
137, 'verb usage', 'display the triples where a verb is used', 'triples_by_verb'
138, 'words or triples liked to formula', 'words or triples that like to this formula', 'list_phrases_of_formula'
139, 'system form field value', 'the numeric value field in a form', 'system_form_field_value'
140, 'group or phrase list', 'show the group name or a list of prase names', 'group_or_phrase_list'
141, 'group name', 'show the group name', 'group_name'
142, 'numeric value', 'show the numeric value', 'value_numeric'
143, 'system preview after change', 'show a preview if the changes are confirmed', 'system_show_after_change'
144, 'system view before change', 'show the view like it is without the changes', 'system_show_before_change'
145, 'system sub title', 'sub title also used for system views', 'system_sub_title'
146, 'system sub title var', 'sub title with a variable number also used for system views', 'system_sub_title_var'
147, 'show description', 'show the object description without link or form field', 'system_show_field_description'
148, 'formulas by verb', 'list of formulas which use a given verb', 'formulas_by_verb'
149, 'form field formula name', 'form field the verb name used in formulas', 'system_form_field_name_in_formulas'
150, 'form field weight', 'fixed form field the triple weight', 'system_form_field_weight'
151, 'values by triple', 'list of values which use a given triple', 'values_by_triple'
152, 'values by source', 'list of values which use a given source', 'values_by_source'
153, 'system form select component position type', 'selector for the position type of a component to a view', 'system_form_select_component_position_type'
154, 'results that changes', 'list of results that changes if the user confirms the change', 'system_show_result_diff'
155, 'context for table import', 'show the context used to import a data table', 'system_paste_table_context'
156, 'drop area for data import', 'show the drop fields to import a data table', 'system_paste_table_body'
157, 'selection name', 'show the description of a named selection', 'system_selection_text'
158, 'popup title', 'for the universal confirmation popup show title of the action', 'system_popup_title'
159, 'popup object', 'for the universal confirmation popup show e.g. word, value, formula depending on the object that is changed', 'form_class'
160, 'popup changes', 'for the universal confirmation popup show the changes', 'form_changes'
161, 'popup impact', 'for the universal confirmation popup show the impact of the changes', 'form_impact'
162, 'view differences', 'highlight the differences due to a change to the user', 'system_show_view_diff'
163, 'show reference type', 'show the reference type as read only', 'system_show_field_ref_type'
164, 'show external key', 'show the external key of a reference as read only', 'system_show_field_ref_key'
165, 'show reference source', 'show the reference source name of a reference as read only', 'system_show_field_ref_source'
166, 'show reference url', 'show the reference url of a reference as read only', 'system_show_field_ref_url'
167, 'form field external key of reference', 'the reference external key form field in a form', 'system_form_field_external_key'
168, 'admin form field username', 'the user name in admin form so that the name can be overwritten', 'admin_form_field_username'
169, 'admin form field user email', 'the user email in admin form so that the email can be overwritten', 'admin_form_field_user_email'
170, 'admin form field user password', 'the user password in admin form so that the password can be overwritten', 'admin_form_field_user_password'
171, 'system form select parent view', 'select the parent view for a view relation', 'system_form_select_parent_view'
172, 'system form select child view', 'select the child view for a view relation', 'system_form_select_child_view'
173, 'system form select view relation type', 'selector for the view relation type', 'system_form_select_view_relation_type'
174, 'system form select view relation start position', 'the position where the modifications of the child view should start', 'system_form_field_view_relation_start_pos'
175, 'system field parent view', 'show the name of the parent view e.g. of a view relation', 'system_show_parent_view'
176, 'system field child view', 'show the name of the child view e.g. of a view relation', 'system_show_child_view'
177, 'system field relation type', 'show the view relation type', 'system_show_view_relation_type'
178, 'system field view modification start position', 'show the position where the modification should start', 'system_show_view_start_pos'
